10560
0
19, 15
20, 15
21, 16
22, 17
23, 17
25, 19
26, 20
27, 20
27, 21
28, 22
29, 23
30, 23
31, 23
31, 24
32, 24
32, 25
33, 25
33, 26
34, 27
35, 27
36, 27
36, 28
38, 29
39, 30
41, 31
43, 34
44, 33
45, 33
47, 36
47, 37
48, 37
50, 38
52, 41
53, 40
53, 41
54, 43
55, 43
56, 44
58, 43
59, 45
60, 44
59, 46
62, 49
64, 47
63, 49
64, 49
65, 50
66, 51
67, 50
66, 52
69, 54
72, 53
71, 55
73, 54
5, 4
6, 5
7, 6
10, 8
11, 9
12, 10
13, 11
14, 12
15, 12
16, 13
17, 14
18, 15
19, 16
20, 16
21, 17
21, 18
22, 18
24, 20
25, 21
26, 21
27, 22
27, 23
28, 23
29, 24
30, 24
30, 25
31, 25
31, 26
32, 27
33, 27
33, 28
34, 29
36, 29
36, 30
37, 31
38, 31
38, 32
39, 32
39, 33
40, 34
41, 33
41, 35
42, 34
42, 35
43, 36
45, 37
45, 38
47, 40
48, 39
48, 41
50, 42
51, 41
53, 43
53, 44
59, 50
60, 51
61, 51
61, 52
62, 53
64, 51
67, 54
66, 56
67, 56
69, 55
8, 7
9, 8
10, 9
11, 10
12, 11
13, 12
14, 13
15, 13
16, 14
17, 15
18, 16
19, 17
20, 18
21, 19
22, 19
22, 20
23, 20
23, 21
24, 22
25, 22
25, 23
28, 25
29, 25
29, 26
29, 27
30, 26
31, 27
31, 28
32, 28
33, 29
33, 30
34, 31
35, 30
35, 31
36, 33
37, 34
38, 33
38, 34
38, 35
39, 34
40, 35
42, 36
43, 37
43, 38
43, 39
44, 38
44, 39
45, 40
46, 41
47, 41
48, 42
50, 43
53, 46
53, 49
55, 48
55, 51
57, 52
59, 54
60, 54
62, 54
63, 57
64, 56
64, 59
68, 59
1, 1
2, 2
3, 3
4, 4
5, 5
6, 6
7, 7
8, 8
9, 9
10, 10
11, 11
12, 12
13, 13
14, 14
15, 14
15, 15
16, 15
16, 16
17, 16
17, 17
18, 17
18, 18
19, 18
19, 19
20, 20
21, 20
21, 21
22, 21
22, 22
23, 22
23, 23
24, 23
24, 24
25, 24
25, 25
26, 26
27, 27
28, 27
29, 29
30, 28
30, 29
30, 30
32, 31
33, 31
33, 32
34, 33
35, 34
38, 37
39, 37
41, 40
43, 41
46, 44
47, 44
47, 45
48, 45
48, 46
49, 46
51, 48
